 WL        Abs       T%
 190.0  2.127137   0.746213
 191.0  2.110606   0.775164
 192.0  2.311122   0.488515
 193.0  2.375787   0.420933
 194.0  2.390208   0.407185
 195.0  2.513045   0.306870
 196.0  2.435591   0.366783
 197.0  2.746577   0.179235
 198.0  2.549126   0.282406
 199.0  2.591979   0.255871
 200.0  2.654600   0.221513
 201.0  2.679720   0.209065
 202.0  2.756441   0.175210
 203.0  2.705988   0.196794
 204.0  2.773317   0.168532
 205.0  2.768464   0.170426
 206.0  2.808986   0.155244
 207.0  2.813223   0.153737
 208.0  2.714661   0.192903
 209.0  2.886447   0.129883
 210.0  2.969142   0.107364
 211.0  2.924188   0.119073
 212.0  2.960364   0.109556
 213.0  2.934948   0.116159
 214.0  2.978987   0.104957
 215.0  3.001990   0.099543
 216.0  3.052096   0.088696
 217.0  3.097378   0.079914
 218.0  3.005375   0.098770
 219.0  3.058369   0.087424
 220.0  3.098103   0.079781
 221.0  3.114046   0.076905
 222.0  3.418023   0.038192
 223.0  3.167722   0.067964
 224.0  3.111311   0.077391
 225.0  3.154201   0.070113
 226.0  3.126507   0.074730
 227.0  3.185877   0.065181
 228.0  3.212372   0.061324
 229.0  3.239078   0.057666
 230.0  3.292689   0.050970
 231.0  3.218265   0.060497
 232.0  3.273231   0.053305
 233.0  3.299506   0.050176
 234.0  3.241587   0.057334
 235.0  3.289847   0.051304
 236.0  3.387558   0.040968
 237.0  3.390724   0.040670
 238.0  3.284885   0.051894
 239.0  3.325889   0.047218
 240.0  3.405921   0.039272
 241.0  3.305909   0.049441
 242.0  3.328895   0.046893
 243.0  3.380576   0.041632
 244.0  3.404315   0.039417
 245.0  3.428148   0.037312
 246.0  3.393359   0.040424
 247.0  3.342517   0.045445
 248.0  3.325642   0.047245
 249.0  3.255157   0.055570
 250.0  3.213987   0.061096
 251.0  3.349702   0.044699
 252.0  3.295992   0.050583
 253.0  3.200294   0.063053
 254.0  3.269329   0.053786
 255.0  3.202239   0.062771
 256.0  3.267927   0.053960
 257.0  3.235781   0.058106
 258.0  3.282925   0.052128
 259.0  3.291802   0.051074
 260.0  3.220656   0.060165
 261.0  3.242944   0.057155
