 WL        Abs       T%
 190.0  2.514254   0.306017
 191.0  2.499808   0.316368
 192.0  2.725977   0.187942
 193.0  2.753151   0.176542
 194.0  2.932870   0.116716
 195.0  3.056837   0.087733
 196.0  2.995092   0.101136
 197.0  3.030755   0.093163
 198.0  2.947213   0.112924
 199.0  3.344966   0.045189
 200.0  3.015342   0.096529
 201.0  3.169757   0.067646
 202.0  3.072659   0.084594
 203.0  3.129802   0.074165
 204.0  3.163410   0.068642
 205.0  3.267642   0.053996
 206.0  3.261238   0.054798
 207.0  3.366901   0.042963
 208.0  3.173630   0.067046
 209.0  3.186424   0.065099
 210.0  3.332747   0.046479
 211.0  3.478401   0.033235
 212.0  3.450344   0.035453
 213.0  3.436651   0.036589
 214.0  3.467065   0.034114
 215.0  3.477832   0.033279
 216.0  3.552361   0.028031
 217.0  3.427562   0.037363
 218.0  3.537924   0.028978
 219.0  3.453361   0.035208
 220.0  3.464901   0.034285
 221.0  3.501739   0.031496
 222.0  3.582221   0.026169
 223.0  3.912960   0.012219
 224.0  3.638891   0.022967
 225.0  3.638789   0.022973
 226.0  3.713461   0.019344
 227.0  3.546585   0.028406
 228.0  3.577695   0.026443
 229.0  3.738724   0.018251
 230.0  3.698964   0.020000
 231.0  3.798260   0.015913
 232.0  3.596821   0.025303
 233.0  3.645389   0.022626
 234.0  3.798596   0.015900
 235.0  3.724046   0.018878
 236.0  3.705650   0.019695
 237.0  3.618405   0.024077
 238.0  3.727382   0.018733
 239.0  3.677970   0.020991
 240.0  3.899957   0.012590
 241.0  3.770167   0.016976
 242.0  3.880569   0.013165
 243.0  3.764057   0.017216
 244.0  3.808428   0.015544
 245.0  3.750735   0.017753
 246.0  3.856382   0.013919
 247.0  3.891350   0.012843
 248.0  3.817644   0.015218
 249.0  3.721144   0.019004
 250.0  3.757376   0.017483
 251.0  3.669379   0.021410
 252.0  3.681779   0.020808
 253.0  3.738492   0.018260
 254.0  3.749516   0.017803
 255.0  3.725918   0.018797
 256.0  3.735421   0.018390
 257.0  3.736036   0.018364
 258.0  3.740813   0.018163
 259.0  3.778029   0.016671
 260.0  3.748603   0.017840
