 WL        Abs       T%
 190.0  2.477274   0.333216
 191.0  2.413136   0.386246
 192.0  2.486765   0.326013
 193.0  2.607440   0.246922
 194.0  2.633852   0.232353
 195.0  2.765781   0.171482
 196.0  2.633640   0.232466
 197.0  3.131002   0.073960
 198.0  2.754698   0.175915
 199.0  2.856503   0.139154
 200.0  2.815116   0.153068
 201.0  2.904043   0.124726
 202.0  3.005100   0.098832
 203.0  2.983506   0.103871
 204.0  2.909307   0.123223
 205.0  2.905349   0.124352
 206.0  3.004252   0.099026
 207.0  3.113386   0.077022
 208.0  2.960225   0.109591
 209.0  3.148013   0.071119
 210.0  3.209905   0.061673
 211.0  3.202446   0.062741
 212.0  3.127876   0.074494
 213.0  3.150821   0.070661
 214.0  3.167250   0.068038
 215.0  3.193820   0.064000
 216.0  3.237508   0.057875
 217.0  3.232929   0.058489
 218.0  3.305243   0.049517
 219.0  3.305398   0.049500
 220.0  3.381133   0.041578
 221.0  3.365453   0.043107
 222.0  3.557781   0.027683
 223.0  3.423752   0.037692
 224.0  3.446608   0.035760
 225.0  3.364079   0.043244
 226.0  3.454672   0.035102
 227.0  3.425611   0.037531
 228.0  3.527610   0.029675
 229.0  3.482385   0.032932
 230.0  3.518399   0.030311
 231.0  3.520394   0.030172
 232.0  3.566508   0.027133
 233.0  3.606063   0.024771
 234.0  3.606293   0.024758
 235.0  3.595976   0.025353
 236.0  3.469845   0.033897
 237.0  3.554244   0.027910
 238.0  3.550471   0.028153
 239.0  3.606655   0.024737
 240.0  3.535981   0.029108
 241.0  3.508022   0.031044
 242.0  3.611548   0.024460
 243.0  3.553210   0.027976
 244.0  3.685801   0.020616
 245.0  3.579645   0.026324
 246.0  3.531018   0.029443
 247.0  3.563275   0.027335
 248.0  3.538264   0.028956
 249.0  3.533052   0.029305
 250.0  3.468925   0.033968
 251.0  3.550947   0.028122
 252.0  3.537700   0.028993
 253.0  3.510152   0.030892
 254.0  3.633541   0.023252
 255.0  3.541012   0.028773
 256.0  3.434096   0.036805
 257.0  3.394928   0.040278
 258.0  3.443278   0.036035
 259.0  3.505028   0.031259
 260.0  3.487673   0.032533
 261.0  3.541705   0.028727
 262.0  3.547061   0.028375
 263.0  3.439631   0.036339
 264.0  3.483116   0.032876
 265.0  3.434874   0.036739
 266.0  3.281252   0.052330
 267.0  3.343405   0.045352
 268.0  3.421643   0.037875
 269.0  3.404706   0.039382
 270.0  3.297503   0.050408
 271.0  3.424194   0.037654
 272.0  3.405783   0.039284
 273.0  3.404042   0.039442
 274.0  3.330139   0.046759
 275.0  3.374538   0.042215
 276.0  3.302520   0.049829
 277.0  3.328031   0.046986
 278.0  3.287295   0.051607
 279.0  3.286633   0.051685
 280.0  3.244258   0.056983
 281.0  3.304365   0.049618
 282.0  3.254631   0.055638
 283.0  3.252943   0.055854
 284.0  3.144811   0.071646
 285.0  3.155597   0.069888
 286.0  3.137492   0.072863
 287.0  3.098732   0.079665
 288.0  2.978061   0.105181
 289.0  2.853756   0.140037
 290.0  2.788667   0.162679
 291.0  2.633295   0.232651
 292.0  2.604040   0.248863
 293.0  2.484215   0.327933
 294.0  2.339722   0.457381
 295.0  2.204067   0.625076
 296.0  2.035394   0.921735
 297.0  1.950253   1.121365
 298.0  1.825211   1.495510
 299.0  1.674438   2.116223
 300.0  1.574675   2.662719
 301.0  1.466351   3.417035
 302.0  1.368795   4.277651
 303.0  1.282632   5.216361
 304.0  1.217320   6.062900
 305.0  1.137819   7.280835
 306.0  1.070590   8.499834
