 WL        Abs       T%
 190.0  2.572915   0.267353
 191.0  2.739958   0.181988
 192.0  2.657765   0.219905
 193.0  2.746998   0.179061
 194.0  2.936540   0.115734
 195.0  2.900352   0.125791
 196.0  2.886083   0.129992
 197.0  2.911487   0.122606
 198.0  3.185018   0.065310
 199.0  2.876476   0.132900
 200.0  2.946266   0.113171
 201.0  3.148013   0.071119
 202.0  3.139795   0.072478
 203.0  3.043905   0.090385
 204.0  3.188006   0.064862
 205.0  3.249826   0.056257
 206.0  3.387666   0.040958
 207.0  3.319188   0.047953
 208.0  3.172537   0.067215
 209.0  3.271193   0.053556
 210.0  3.581209   0.026230
 211.0  3.438136   0.036464
 212.0  3.438568   0.036428
 213.0  3.468031   0.034038
 214.0  3.419604   0.038054
 215.0  3.612481   0.024407
 216.0  3.640097   0.022904
 217.0  3.683066   0.020746
 218.0  3.613841   0.024331
 219.0  3.555045   0.027858
 220.0  3.624742   0.023728
 221.0  3.643728   0.022713
 222.0  3.827729   0.014869
 223.0  3.798306   0.015911
 224.0  3.627912   0.023555
 225.0  3.599940   0.025122
 226.0  3.598179   0.025224
 227.0  3.665831   0.021586
 228.0  3.766768   0.017109
 229.0  3.798576   0.015901
 230.0  3.661835   0.021785
 231.0  3.703418   0.019796
 232.0  3.776603   0.016726
 233.0  3.789919   0.016221
 234.0  3.821404   0.015087
 235.0  3.771540   0.016922
 236.0  3.808655   0.015536
 237.0  3.846028   0.014255
 238.0  3.843894   0.014325
 239.0  3.796186   0.015989
 240.0  3.823660   0.015009
 241.0  3.866232   0.013607
 242.0  3.915869   0.012138
 243.0  3.862821   0.013714
 244.0  3.607106   0.024711
 245.0  3.811679   0.015428
 246.0  3.794281   0.016059
 247.0  3.731482   0.018557
 248.0  3.690695   0.020385
 249.0  3.777090   0.016707
 250.0  3.809356   0.015511
 251.0  3.748279   0.017853
 252.0  3.822187   0.015060
 253.0  3.827652   0.014871
 254.0  3.823737   0.015006
 255.0  3.739202   0.018230
 256.0  3.669670   0.021396
 257.0  3.771567   0.016921
 258.0  3.872454   0.013414
 259.0  3.784369   0.016430
 260.0  3.704562   0.019744
 261.0  3.779325   0.016622
 262.0  3.802315   0.015765
 263.0  3.632665   0.023299
 264.0  3.680672   0.020861
 265.0  3.472450   0.033694
 266.0  3.668441   0.021456
 267.0  3.594328   0.025449
 268.0  3.598672   0.025196
 269.0  3.625011   0.023713
 270.0  3.562452   0.027387
 271.0  3.677103   0.021033
 272.0  3.759782   0.017387
 273.0  3.644074   0.022695
 274.0  3.552858   0.027999
 275.0  3.650455   0.022364
 276.0  3.574750   0.026623
 277.0  3.566736   0.027118
 278.0  3.504305   0.031311
 279.0  3.533529   0.029273
 280.0  3.587697   0.025841
 281.0  3.556159   0.027787
 282.0  3.565480   0.027197
 283.0  3.387194   0.041002
 284.0  3.368828   0.042773
 285.0  3.361086   0.043543
 286.0  3.245608   0.056806
 287.0  3.117598   0.076278
 288.0  2.963270   0.108825
 289.0  2.883041   0.130906
 290.0  2.696037   0.201355
 291.0  2.605618   0.247960
 292.0  2.438012   0.364744
 293.0  2.313206   0.486176
 294.0  2.217395   0.606185
 295.0  2.088888   0.814914
 296.0  1.927403   1.181945
 297.0  1.825514   1.494467
 298.0  1.729705   1.863353
 299.0  1.600327   2.509993
 300.0  1.539308   2.888628
 301.0  1.455703   3.501849
 302.0  1.345655   4.511745
 303.0  1.277010   5.284334
 304.0  1.209122   6.178429
 305.0  1.142359   7.205116
 306.0  1.073798   8.437272
 307.0  1.009847   9.775823
 308.0  0.953637  11.126614
 309.0  0.902486  12.517394
 310.0  0.849729  14.134202
 311.0  0.802498  15.758029
 312.0  0.753760  17.629492
 313.0  0.708976  19.544462
 314.0  0.669188  21.419649
 315.0  0.631758  23.347588
 316.0  0.599891  25.125179
 317.0  0.568479  27.009804
 318.0  0.539067  28.902330
 319.0  0.511747  30.778885
 320.0  0.486912  32.590290
 321.0  0.465397  34.245499
 322.0  0.443421  36.022957
 323.0  0.423578  37.707008
 324.0  0.404081  39.438332
 325.0  0.385420  41.169899
 326.0  0.368359  42.819408
 327.0  0.352406  44.421600
 328.0  0.339031  45.810959
 329.0  0.326507  47.151268
 330.0  0.314880  48.430588
 331.0  0.303804  49.681618
 332.0  0.293721  50.848591
 333.0  0.284653  51.921520
 334.0  0.276571  52.896732
 335.0  0.268608  53.875546
 336.0  0.261188  54.804024
 337.0  0.253913  55.729748
 338.0  0.247733  56.528503
 339.0  0.245071  56.876034
 340.0  0.253758  55.749638
 341.0  0.248574  56.419048
 342.0  0.243897  57.029926
 343.0  0.239831  57.566364
 344.0  0.235759  58.108627
 345.0  0.232075  58.603714
 346.0  0.228692  59.061954
 347.0  0.225489  59.499245
 348.0  0.222439  59.918453
 349.0  0.219668  60.302067
 350.0  0.216969  60.677979
 351.0  0.214156  61.072308
 352.0  0.212017  61.373856
 353.0  0.209946  61.667179
 354.0  0.207921  61.955391
 355.0  0.205941  62.238419
 356.0  0.204290  62.475533
 357.0  0.202526  62.729767
 358.0  0.201016  62.948322
 359.0  0.199440  63.177074
 360.0  0.198039  63.381325
 361.0  0.196794  63.563232
 362.0  0.195901  63.694012
 363.0  0.194472  63.904034
 364.0  0.193367  64.066833
 365.0  0.192169  64.243828
 366.0  0.191166  64.392357
 367.0  0.190630  64.471870
 368.0  0.189331  64.664970
 369.0  0.188540  64.782791
 370.0  0.188119  64.845718
 371.0  0.185471  65.242233
 372.0  0.184961  65.318977
 373.0  0.184486  65.390381
 374.0  0.183904  65.478119
 375.0  0.183207  65.583221
 376.0  0.182937  65.624008
 377.0  0.182523  65.686668
 378.0  0.181947  65.773758
 379.0  0.181176  65.890671
 380.0  0.180774  65.951721
 381.0  0.179730  66.110443
 382.0  0.178971  66.226028
 383.0  0.177781  66.407822
 384.0  0.176352  66.626701
 385.0  0.175283  66.790787
 386.0  0.174122  66.969666
 387.0  0.172894  67.159271
 388.0  0.171589  67.361435
 389.0  0.170609  67.513580
 390.0  0.169390  67.703293
 391.0  0.168264  67.879082
 392.0  0.167356  68.021080
 393.0  0.166572  68.144081
 394.0  0.165566  68.302055
 395.0  0.164754  68.429855
 396.0  0.163695  68.596962
 397.0  0.162980  68.710052
 398.0  0.161814  68.894768
 399.0  0.161319  68.973221
 400.0  0.160228  69.146729
 401.0  0.159679  69.234222
 402.0  0.158194  69.471344
 403.0  0.157388  69.600388
 404.0  0.157160  69.637024
 405.0  0.156246  69.783653
 406.0  0.155113  69.966072
 407.0  0.154788  70.018349
 408.0  0.153876  70.165489
 409.0  0.152906  70.322380
 410.0  0.152521  70.384857
 411.0  0.151579  70.537704
 412.0  0.150609  70.695351
 413.0  0.150288  70.747688
 414.0  0.149379  70.895821
 415.0  0.148440  71.049393
 416.0  0.147864  71.143707
 417.0  0.147127  71.264458
 418.0  0.146318  71.397377
