 WL        Abs       T%
 190.0  2.603781   0.249012
 191.0  2.662570   0.217485
 192.0  2.694913   0.201877
 193.0  2.814452   0.153302
 194.0  2.863694   0.136869
 195.0  2.848975   0.141587
 196.0  2.990094   0.102307
 197.0  3.379921   0.041695
 198.0  2.942592   0.114132
 199.0  2.984464   0.103642
 200.0  3.023312   0.094774
 201.0  3.095324   0.080293
 202.0  3.071449   0.084830
 203.0  3.126843   0.074672
 204.0  3.084090   0.082397
 205.0  3.186653   0.065065
 206.0  3.167892   0.067937
 207.0  3.198575   0.063303
 208.0  3.139832   0.072472
 209.0  3.344346   0.045254
 210.0  3.278886   0.052616
 211.0  3.436765   0.036579
 212.0  3.298657   0.050274
 213.0  3.362632   0.043388
 214.0  3.402516   0.039581
 215.0  3.464676   0.034302
 216.0  3.491888   0.032219
 217.0  3.455785   0.035012
 218.0  3.442703   0.036083
 219.0  3.440937   0.036230
 220.0  3.618560   0.024068
 221.0  3.489357   0.032407
 222.0  3.731080   0.018575
 223.0  3.591385   0.025622
 224.0  3.683817   0.020710
 225.0  3.553671   0.027947
 226.0  3.705198   0.019715
 227.0  3.660154   0.021870
 228.0  3.620586   0.023956
 229.0  3.614036   0.024320
 230.0  3.655023   0.022130
 231.0  3.724974   0.018838
 232.0  3.621577   0.023901
 233.0  3.809305   0.015513
 234.0  3.712714   0.019377
 235.0  3.768041   0.017059
 236.0  3.835772   0.014596
 237.0  3.815331   0.015299
 238.0  3.768675   0.017034
 239.0  3.795626   0.016009
 240.0  3.848748   0.014166
 241.0  3.973785   0.010622
 242.0  3.870488   0.013474
 243.0  3.800506   0.015830
 244.0  3.892770   0.012801
 245.0  3.794248   0.016060
 246.0  3.711771   0.019419
 247.0  3.780221   0.016587
 248.0  3.779187   0.016627
 249.0  3.763964   0.017220
 250.0  3.730543   0.018598
 251.0  3.749018   0.017823
 252.0  3.750805   0.017750
 253.0  3.811441   0.015437
 254.0  3.788847   0.016261
 255.0  3.836713   0.014564
 256.0  3.830036   0.014790
 257.0  3.645000   0.022646
 258.0  3.769331   0.017009
 259.0  3.750128   0.017778
 260.0  3.612746   0.024392
 261.0  3.703164   0.019808
 262.0  3.720924   0.019014
 263.0  3.701485   0.019885
 264.0  3.747026   0.017905
 265.0  3.718854   0.019105
