 WL        Abs       T%
 190.0  2.553190   0.279775
 191.0  2.503964   0.313355
 192.0  2.752824   0.176675
 193.0  2.923632   0.119225
 194.0  2.907642   0.123697
 195.0  2.981374   0.104382
 196.0  2.839318   0.144771
 197.0  3.070665   0.084984
 198.0  3.126288   0.074767
 199.0  3.004775   0.098907
 200.0  3.139623   0.072506
 201.0  2.923798   0.119180
 202.0  3.009161   0.097913
 203.0  3.072086   0.084706
 204.0  3.130574   0.074033
 205.0  3.107324   0.078105
 206.0  3.193722   0.064014
 207.0  3.226176   0.059405
 208.0  3.091203   0.081058
 209.0  3.163228   0.068671
 210.0  3.224350   0.059655
 211.0  3.232065   0.058605
 212.0  3.286946   0.051648
 213.0  3.379387   0.041746
 214.0  3.299347   0.050194
 215.0  3.276552   0.052899
 216.0  3.471134   0.033796
 217.0  3.375477   0.042123
 218.0  3.279942   0.052488
 219.0  3.365979   0.043055
 220.0  3.526981   0.029718
 221.0  3.400334   0.039780
 222.0  3.508473   0.031012
 223.0  3.665659   0.021594
 224.0  3.401987   0.039629
 225.0  3.487930   0.032514
 226.0  3.482187   0.032947
 227.0  3.510491   0.030868
 228.0  3.608039   0.024658
 229.0  3.617128   0.024147
 230.0  3.575493   0.026577
 231.0  3.538141   0.028964
 232.0  3.553416   0.027963
 233.0  3.709375   0.019527
 234.0  3.656958   0.022031
 235.0  3.795248   0.016023
 236.0  3.748548   0.017842
 237.0  3.665677   0.021594
 238.0  3.642521   0.022776
 239.0  3.615016   0.024265
 240.0  3.671141   0.021324
 241.0  3.722965   0.018925
 242.0  3.682836   0.020757
 243.0  3.776874   0.016716
 244.0  3.639491   0.022936
 245.0  3.722446   0.018948
 246.0  3.668177   0.021470
 247.0  3.681265   0.020832
 248.0  3.650240   0.022375
 249.0  3.686175   0.020598
 250.0  3.587908   0.025828
 251.0  3.701960   0.019863
 252.0  3.642890   0.022757
 253.0  3.610477   0.024520
 254.0  3.628745   0.023510
 255.0  3.629155   0.023488
 256.0  3.557138   0.027724
 257.0  3.606266   0.024759
 258.0  3.637984   0.023015
 259.0  3.685258   0.020642
 260.0  3.581983   0.026183
 261.0  3.641286   0.022841
 262.0  3.597351   0.025273
 263.0  3.576089   0.026541
 264.0  3.561950   0.027419
 265.0  3.655404   0.022110
 266.0  3.478404   0.033235
 267.0  3.468921   0.033969
 268.0  3.543007   0.028641
 269.0  3.473431   0.033618
 270.0  3.482686   0.032909
 271.0  3.502950   0.031409
 272.0  3.473022   0.033649
 273.0  3.421831   0.037859
 274.0  3.327358   0.047059
 275.0  3.397568   0.040034
 276.0  3.325408   0.047271
 277.0  3.370874   0.042572
 278.0  3.421170   0.037917
 279.0  3.467463   0.034083
 280.0  3.449970   0.035484
 281.0  3.355793   0.044076
 282.0  3.404607   0.039391
 283.0  3.460739   0.034615
 284.0  3.346824   0.044996
 285.0  3.353009   0.044360
 286.0  3.277695   0.052760
 287.0  3.237665   0.057854
 288.0  3.144848   0.071639
 289.0  3.196167   0.063655
 290.0  3.037527   0.091722
 291.0  2.906786   0.123941
 292.0  2.873982   0.133665
 293.0  2.702185   0.198525
 294.0  2.605856   0.247824
 295.0  2.505413   0.312311
 296.0  2.348641   0.448084
 297.0  2.259354   0.550358
 298.0  2.137477   0.728656
 299.0  2.024056   0.946115
 300.0  1.893896   1.276744
 301.0  1.803416   1.572476
 302.0  1.719141   1.909235
 303.0  1.613044   2.437566
 304.0  1.543155   2.863156
 305.0  1.463671   3.438183
 306.0  1.392757   4.048020
 307.0  1.322721   4.756411
 308.0  1.258927   5.509007
 309.0  1.200578   6.301178
 310.0  1.144921   7.162742
 311.0  1.088665   8.153334
 312.0  1.035340   9.218488
 313.0  0.984359  10.366722
 314.0  0.939976  11.482178
 315.0  0.900790  12.566382
 316.0  0.864305  13.667686
 317.0  0.833255  14.680627
 318.0  0.802172  15.769859
 319.0  0.772175  16.897606
 320.0  0.743639  18.045151
 321.0  0.719447  19.078901
 322.0  0.694295  20.216452
 323.0  0.672017  21.280571
 324.0  0.650088  22.382685
 325.0  0.629812  23.452419
 326.0  0.611149  24.482248
